"LabelValue","Name","Color_R","Color_G","Color_B","Color_A","Category_CodingScheme","Category_CodeValue","Category_CodeMeaning","Type_CodingScheme","Type_CodeValue","Type_CodeMeaning","TypeModifier_CodingScheme","TypeModifier_CodeValue","TypeModifier_CodeMeaning","Region_CodingScheme","Region_CodeValue","Region_CodeMeaning","RegionModifier_CodingScheme","RegionModifier_CodeValue","RegionModifier_CodeMeaning"
11,"Hindgut",160,255,106,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001681","Hindgut","","","","","","","","",""
12,"Epithelial Hindgut",0,95,24,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001682","Epithelial Hindgut","","","","","","","","",""
13,"Microvilli Hindgut",255,255,102,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0004339","vault of skull","Uberon","http://purl.obolibrary.org/obo/UBERON_0002229","Microvilli Hindgut","","","","","","","","",""
14,"Labrum",106,255,123,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_3000050","braincase and auditory apparatus","Uberon","http://purl.obolibrary.org/obo/UBERON_0018348","Labrum","","","","","","","","",""
15,"Labral Gland Cell",0,74,27,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0002244","Labral Gland Cell","","","","","","","","",""
16,"Mandible",0,255,155,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_3000050","braincase and auditory apparatus","Uberon","http://purl.obolibrary.org/obo/UBERON_0008828","Mandible","","","","","","","","",""
17,"Maxillae",26,181,116,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_2000240","Maxillae","","","","","","","","",""
18,"Midgut",96,255,42,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_3000619","Midgut","","","","","","","","",""
19,"Epithelial Midgut",0,95,24,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0006721","Epithelial Midgut","","","","","","","","",""
20,"Microvilli Midgut",255,255,102,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001692","Microvilli Midgut","","","","","","","","",""
21,"Excretory",255,255,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0006428","Excretory","","","","","","","","",""
22,"Maxillary Gland",0,136,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0004742","Maxillary Gland","","","","","","","","",""
23,"End Sac",0,136,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_3000050","braincase and auditory apparatus","Uberon","http://purl.obolibrary.org/obo/UBERON_0001693","End Sac","","","","","","","","",""
24,"Tubule",116,218,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0010750","Tubule","","","","","","","","",""
25,"Locomotive and Osmoregulation",255,255,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0002229","Locomotive and Osmoregulation","","","","","","","","",""
26,"Swimming Antenna",201,136,0,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001683","Swimming Antenna","","","","","","","","",""
27,"Protopodite",153,102,0,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001680","Protopodite","","","","","","","","",""
